-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                                                            message                                                                                            |
|---------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1785064005765 | INIT_START Runtime Version: python:3.12.mainlinev2.v18 Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:9819e0b13863c84a43e11f5c724871d909046d3cfb807eeb19460c63f974f26f                |
| 1785064006552 | START RequestId: 3026a1b2-05fe-4bc6-b42e-78dac2c5ba0e Version: $LATEST                                                                                                                        |
| 1785064006866 | CloudTrail lookup_events returned 1 RunInstances event(s)                                                                                                                                     |
| 1785064006866 | Resolved launching user for i-0033158c8437c419f: tanishqb212000+HV17@gmail.com                                                                                                                |
| 1785064007435 | Tagged instance i-0033158c8437c419f with: [{'Key': 'LaunchDate', 'Value': '2026-07-26'}, {'Key': 'Environment', 'Value': 'dev'}, {'Key': 'Owner', 'Value': 'tanishqb212000+HV17@gmail.com'}]  |
| 1785064007449 | END RequestId: 3026a1b2-05fe-4bc6-b42e-78dac2c5ba0e                                                                                                                                           |
| 1785064007449 | REPORT RequestId: 3026a1b2-05fe-4bc6-b42e-78dac2c5ba0e Duration: 896.04 ms Billed Duration: 1680 ms Memory Size: 128 MB Max Memory Used: 100 MB Init Duration: 783.74 ms                      |
| 1785064132472 | START RequestId: bd2a0bb1-0a74-4b2e-8640-a8fec8b22cab Version: $LATEST                                                                                                                        |
| 1785064132509 | CloudTrail lookup_events returned 0 RunInstances event(s)                                                                                                                                     |
| 1785064132509 | Could not resolve launching user for i-014133a4ae8a1215e (CloudTrail lag or event not found)                                                                                                  |
| 1785064133044 | Tagged instance i-014133a4ae8a1215e with: [{'Key': 'LaunchDate', 'Value': '2026-07-26'}, {'Key': 'Environment', 'Value': 'dev'}, {'Key': 'Owner', 'Value': 'unknown'}]                        |
| 1785064133046 | END RequestId: bd2a0bb1-0a74-4b2e-8640-a8fec8b22cab                                                                                                                                           |
| 1785064133046 | REPORT RequestId: bd2a0bb1-0a74-4b2e-8640-a8fec8b22cab Duration: 573.26 ms Billed Duration: 574 ms Memory Size: 128 MB Max Memory Used: 100 MB                                                |
| 1785064220631 | START RequestId: 74afb133-1d53-4ed6-995e-9a1703fd3e97 Version: $LATEST                                                                                                                        |
| 1785064220686 | CloudTrail lookup_events returned 0 RunInstances event(s)                                                                                                                                     |
| 1785064220686 | Could not resolve launching user for i-014133a4ae8a1215e (CloudTrail lag or event not found)                                                                                                  |
| 1785064221069 | Tagged instance i-014133a4ae8a1215e with: [{'Key': 'LaunchDate', 'Value': '2026-07-26'}, {'Key': 'Environment', 'Value': 'dev'}, {'Key': 'Owner', 'Value': 'unknown'}]                        |
| 1785064221072 | END RequestId: 74afb133-1d53-4ed6-995e-9a1703fd3e97                                                                                                                                           |
| 1785064221072 | REPORT RequestId: 74afb133-1d53-4ed6-995e-9a1703fd3e97 Duration: 439.67 ms Billed Duration: 440 ms Memory Size: 128 MB Max Memory Used: 100 MB                                                |
| 1785064233249 | START RequestId: b44dc936-bdaa-44af-afcd-68240887913b Version: $LATEST                                                                                                                        |
| 1785064233278 | CloudTrail lookup_events returned 0 RunInstances event(s)                                                                                                                                     |
| 1785064233278 | Could not resolve launching user for i-014133a4ae8a1215e (CloudTrail lag or event not found)                                                                                                  |
| 1785064233583 | Tagged instance i-014133a4ae8a1215e with: [{'Key': 'LaunchDate', 'Value': '2026-07-26'}, {'Key': 'Environment', 'Value': 'dev'}, {'Key': 'Owner', 'Value': 'unknown'}]                        |
| 1785064233585 | END RequestId: b44dc936-bdaa-44af-afcd-68240887913b                                                                                                                                           |
| 1785064233585 | REPORT RequestId: b44dc936-bdaa-44af-afcd-68240887913b Duration: 335.00 ms Billed Duration: 335 ms Memory Size: 128 MB Max Memory Used: 100 MB                                                |
| 1785064315022 | START RequestId: ad919b93-f3b3-4dee-821d-f8dacaa244ea Version: $LATEST                                                                                                                        |
| 1785064315090 | CloudTrail lookup_events returned 1 RunInstances event(s)                                                                                                                                     |
| 1785064315090 | Resolved launching user for i-014133a4ae8a1215e: tanishqb212000+HV17@gmail.com                                                                                                                |
| 1785064315490 | Tagged instance i-014133a4ae8a1215e with: [{'Key': 'LaunchDate', 'Value': '2026-07-26'}, {'Key': 'Environment', 'Value': 'dev'}, {'Key': 'Owner', 'Value': 'tanishqb212000+HV17@gmail.com'}]  |
| 1785064315492 | END RequestId: ad919b93-f3b3-4dee-821d-f8dacaa244ea                                                                                                                                           |
| 1785064315492 | REPORT RequestId: ad919b93-f3b3-4dee-821d-f8dacaa244ea Duration: 468.85 ms Billed Duration: 469 ms Memory Size: 128 MB Max Memory Used: 100 MB                                                |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
